Timestamp,Where do you like to study?,Gender,Do you prefer to study alone ?,How many Hours do you study in one go ?,Do you prefer snacks while studying ?,In which Block you stay?,Do you prefer to study on Bed or Study table?,Which program are you enrolled in ?,Which department are you in ?,Do you prefer Live Lectures or Recording?,Do you prefer to study with Lec recording or Lec slides?,Score
4/5/2022 17:26:17,Your Room,Male,Alone,2-3 Hrs,Yes,Ramanuja,Bed,Undergraduate,Mathematics,Recording,Slides,
4/5/2022 20:18:50,Your Room,Male,Alone,1-2 Hrs,No,Ramanuja,Study Table,Undergraduate,Mathematics,Recording,Slides,
4/5/2022 21:07:57,Your Room,Male,Alone,1-2 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Mathematics,Live Lectures,Slides,
4/5/2022 21:18:02,Your Room,Female,Alone,2-3 Hrs,Yes,Gargi,Both,Undergraduate,Physics,Live Lectures,Slides,
4/5/2022 21:18:13,Academic Block,Female,Alone,3-4 Hrs,Sometimes,Bhaskara,Study Table,Undergraduate,Mathematics,Both are equally preferable,Slides,
4/5/2022 21:18:18,Academic Block,Male,Alone,3-4 Hrs,No,Kapila,Study Table,Postgraduate,Artificial Intelligence,Live Lectures,Recording,
4/5/2022 21:18:23,Your Room,Male,With a friend,1-2 Hrs,Yes,Ramanuja,Bed,Undergraduate,Others,Both are equally preferable,Slides,
4/5/2022 21:18:25,Your Friends' room,Male,With a friend,1-2 Hrs,Yes,Ramanuja,Bed,Undergraduate,Artificial Intelligence,Recording,Recording,
4/5/2022 21:18:40,Your Room,Male,Alone,2-3 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Physics,Both are equally preferable,Recording,
4/5/2022 21:18:59,Your Room,Male,Alone,3-4 Hrs,No,Charaka,Both,Undergraduate,Others,Recording,Recording,
4/5/2022 21:19:10,Academic Block,Male,Alone,2-3 Hrs,No,Ramanuja,Study Table,Undergraduate,Artificial Intelligence,Live Lectures,Slides,
4/5/2022 21:19:18,Your Room,Male,Alone,2-3 Hrs,Sometimes,Ramanuja,Both,Undergraduate,Artificial Intelligence,Live Lectures,Slides,
4/5/2022 21:19:21,Your Room,Female,With a friend,2-3 Hrs,Sometimes,,Both,,,Recording,Recording,
4/5/2022 21:19:25,Academic Block,Male,Alone,1-2 Hrs,No,Kapila,Study Table,PHD,Mathematics,Live Lectures,Recording,
4/5/2022 21:19:32,Your Friends' room,Male,Alone,1-2 Hrs,Yes,Vyasa,Both,Undergraduate,Electrical Engineering,Both are equally preferable,Slides,
4/5/2022 21:20:21,Your Room,Male,Prefer Group Study,1-2 Hrs,Sometimes,Kautilya,Study Table,Undergraduate,Others,Recording,Slides,
4/5/2022 21:20:32,Your Room,Female,Alone,3-4 Hrs,Yes,Aryabhatta,Bed,Undergraduate,Physics,Recording,Slides,
4/5/2022 21:20:39,Your Room,Male,Alone,1-2 Hrs,No,Brahmagupta,Study Table,Undergraduate,Physics,Live Lectures,Recording,
4/5/2022 21:21:03,Your Room,Female,Prefer Group Study,2-3 Hrs,No,Bhaskara,Study Table,Postgraduate,Design Department,Live Lectures,Slides,
4/5/2022 21:21:15,Your Room,Male,Alone,2-3 Hrs,No,Vyasa,,PHD,Chemistry,Recording,Slides,
4/5/2022 21:21:23,Academic Block,Male,Alone,3-4 Hrs,Sometimes,Ramanuja,Both,Undergraduate,Electrical Engineering,Live Lectures,Recording,
4/5/2022 21:21:26,Academic Block,Male,Alone,2-3 Hrs,No,,Study Table,Undergraduate,Artificial Intelligence,Live Lectures,Recording,
4/5/2022 21:21:47,Your Room,Male,Alone,1-2 Hrs,No,Ramanuja,Both,Undergraduate,Electrical Engineering,Recording,Recording,
4/5/2022 21:23:02,Your Room,Male,Alone,7-8 Hrs,Sometimes,Ramanuja,Both,Undergraduate,Others,Recording,Recording,
4/5/2022 21:23:19,Your Room,Female,With a friend,1-2 Hrs,Yes,Bhaskara,Both,Undergraduate,Civil Engineering,Both are equally preferable,Recording,
4/5/2022 21:24:32,Academic Block,Male,With a friend,4-5 Hrs,Sometimes,Ramanuja,Study Table,Undergraduate,Civil Engineering,Both are equally preferable,Slides,
4/5/2022 21:26:20,Your Room,Male,Prefer Group Study,1-2 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Chemical Engineering,Both are equally preferable,Recording,
4/5/2022 21:26:51,Your Room,Male,Alone,1-2 Hrs,No,Susruta,Study Table,Undergraduate,Electrical Engineering,Both are equally preferable,Recording,
4/5/2022 21:26:59,Your Room,Male,With a friend,4-5 Hrs,Yes,Ramanuja,Study Table,Undergraduate,Civil Engineering,Live Lectures,Recording,
